couplings,var_elec,var_magn,fidel_suscep
0.005,0.01020316537788648,-2.0202185032598194,0.06376982616561071
0.01,0.03144822824823812,-2.061550097264479,0.06640510202171689
0.015,0.05401268065980945,-2.104271599574108,0.06918425142042618
0.02,0.07798319883522337,-2.148450291415924,0.0721171955258982
0.025,0.10345311210150153,-2.1941577798345224,0.07521469250069636
0.03,0.13052300424352845,-2.24147034779857,0.07848841984394286
0.035,0.1593013783170356,-2.290469338736335,0.08195106949956257
0.04,0.18990539265614279,-2.3412415795192416,0.08561645202872878
0.045,0.22246167688992202,-2.3938798464678626,0.08949961391887465
0.05,0.25710723803310065,-2.448483379590808,0.09361697135559222
0.055,0.2939904681686813,-2.5051584510088554,0.0979864561786772
0.06,0.3332722669323617,-2.564018994381638,0.102627686508044
0.065,0.37512729398461975,-2.625187303166585,0.10756215486756918
0.07,0.4197453689702691,-2.688794806722986,0.11281344151864901
0.075,0.46733303918364677,-2.7549829346709127,0.11840745909881316
0.08,0.5181153383609807,-2.8239040815692538,0.1243727271067767
0.085,0.5723377638078156,-2.8957226859222946,0.1307406903474507
0.09,0.6302685035618883,-2.9706164398628223,0.13754607396086427
0.095,0.6922009506404038,-3.048777648629722,0.14482730029760657
0.1,0.7584565478137177,-3.1304147623079177,0.15262695857295747
0.105,0.829388014018727,-3.2157541063126467,0.16099235210954826
0.11,0.9053830127692667,-3.305041841968567,0.16997612550532187
0.115,0.9868683341157569,-3.3985461944809305,0.17963699704110497
0.12,1.0743146753134278,-3.4965599928102398,0.19004060364550662
0.125,1.1682421220028136,-3.5994035749092848,0.20126049093753381
0.13,1.269226452147987,-3.7074281227577357,0.21337926884174002
0.135,1.3779064102411325,-3.82101950532295,0.22648997705473445
0.14,1.4949921306839435,-3.9406027246940165,0.24069768458527888
0.145,1.6212749285142485,-4.066647082116278,0.25612139535130257
0.15,1.7576387250683152,-4.199672207905555,0.2728963152739535
0.155,1.9050734387937567,-4.340255133899747,0.29117656060500796
0.16,2.0646907513515647,-4.4890386315894,0.31113842252538937
0.165,2.2377427619304897,-4.646741096555003,0.33298431493601943
0.17,2.4256441759021037,-4.814168334621689,0.35694757629265106
0.17500000000000002,2.6299988480126912,-4.992227703190362,0.38329835670068907
0.18,2.852631729741225,-5.181945190821826,0.4123508805010294
0.185,3.0956275755458313,-5.3844861907339014,0.4444724659964084
0.19,3.3613781723008964,-5.601180955887592,0.4800948369871444
0.195,3.652640411348087,-5.833556037661242,0.5197284046368256
0.2,3.972608282709469,-6.083373440090684,0.5639804786183537
0.20500000000000002,4.325002922727285,-6.352679815257573,0.6135787262578053
0.21,4.714186317556257,-6.643868852928212,0.6694016816001539
0.215,5.145306346152807,-6.959761183003382,0.7325188984192642
0.22,5.624483825307997,-7.303707767965999,0.8042444078705816
0.225,6.159056535038415,-7.679725149009002,0.8862088040916472
0.23,6.757901534132731,-8.092674382387337,0.9804577756461067
0.23500000000000001,7.431866485412613,-8.548500615844993,1.089588714915663
0.24,8.194354883244397,-9.054557875631229,1.2169430229571783
0.245,9.06213171845345,-9.62005513391008,1.3668812269974997
0.25,10.056449632682387,-10.256677300140362,1.5451832906301104
0.255,11.204648264318385,-10.97946198012302,1.7596416751310178
0.26,12.54246337627668,-11.808055473797852,2.0209567196193152
0.265,14.117417868855684,-12.768539069350638,2.3441155677938945
0.27,15.99388847937334,-13.896124920550067,2.750560308399968
0.275,18.26080845583034,-15.239195253655677,3.2716710591750946
0.28,21.043575952252418,-16.86543994509327,3.9544854924829056
0.28500000000000003,24.52274884381438,-18.871295636708467,4.871297317231294
0.29,28.963750893687198,-21.396576900983973,6.13609668850662
0.295,34.76433760978336,-24.647142092568885,7.933208423792044
0.3,42.52984967866263,-28.929379321034407,10.56762412778969
0.301,48.35629267489612,-32.10249755265335,12.709011800873073
0.302,50.609751201393614,-33.31919380576395,13.566073261477337
0.303,53.01912403077509,-34.614737121632515,14.50130622666025
0.304,55.59739549690685,-35.995213220084445,15.522961467427148
0.305,58.35860978562341,-37.46713775784324,16.640186412010273
0.306,61.317917833479456,-39.0374618091642,17.86310722899768
0.307,64.49161168506106,-40.713568405566356,19.202911297859607
0.308,67.89714043777234,-42.50325694891451,20.671927191802915
0.309,71.55310024669109,-44.414711519003404,22.283697603159325
0.31,75.47918885973186,-46.45644816160784,24.053039293964368
0.311,79.69611277811588,-48.637235165954486,25.996081961269667
0.312,84.22543237565253,-50.96597912914809,28.1302753936939
0.313,89.08932718936305,-53.45156829218562,30.474350715666947
0.314,94.31026019812708,-56.102663283692905,33.04821846426779
0.315,99.91051640584017,-58.92742413237779,35.87278097410491
0.316,105.91158774464739,-61.933161387289935,38.9696326156325
0.317,112.33337368872877,-65.1258986769076,42.36061577733574
0.318,119.19316574171991,-68.50983442273677,46.06719621127765
0.319,126.50438513145035,-72.08669219686253,50.109618193975386
0.32,134.27504796253308,-75.85495301981375,54.50579834823505
0.321,142.50594242218006,-79.8089694969341,59.26992122504275
0.322,151.18852035646833,-83.93797191259448,64.41070854147729
0.323,160.30253266968748,-88.22499102511463,69.92935386730682
0.324,169.81347626372653,-92.6457418366792,75.81714519835474
0.325,179.6699704370493,-97.16753699917193,82.05284347142197
0.326,189.80124179247932,-101.74832669907276,88.5999470101151
0.327,200.11496485735663,-106.3359913207539,95.40404685270327
0.328,210.4957728786079,-110.86803949319525,102.390561884182
0.329,220.8048069369493,-115.27188078524543,109.46322254536668
0.33,230.8806943666111,-119.46584110215176,116.50372995377944
0.331,240.5423194476055,-123.36106095729028,123.37302926289645
0.332,249.59365169157778,-126.86435504659322,129.91457522854787
0.333,257.8307184583817,-129.88201334844163,135.95981624370663
0.334,265.05055269580754,-132.32439460903566,141.3358706948721
0.335,271.0616380359798,-134.11101803105817,145.87503880873044
0.336,275.6950602041106,-135.17572377329745,149.4254299338422
0.337,278.815321198955,-135.47137916258998,151.86166539894884
0.33799999999999997,280.32964994662035,-134.9735854871528,153.09442551990261
0.33899999999999997,280.1947022849409,-133.6829088406207,153.0776183008738
0.33999999999999997,278.4197995712716,-131.6253169669891,151.81218642543502
0.34099999999999997,275.06627618827713,-128.8507286729955,149.3460112350857
0.34199999999999997,270.24301458338914,-125.4298305653182,145.76993003705186
0.34299999999999997,264.09874013395626,-121.44953745801679,141.21043753838495
0.344,256.8120288880384,-117.00762423438239,135.82007251814318
0.345,248.58018234640133,-112.20711341179336,129.76671581089997
0.346,239.60812541112355,-107.15096334943465,123.22302089472794
0.347,230.09831377455626,-101.93748756951217,116.35699829695244
0.348,220.24235503265092,-96.65677931997409,109.3244515837505
0.349,210.2147246097166,-91.38825254638752,102.26360235820395
0.35,200.16865587127145,-86.19926923256119,95.29191569182284
0.351,190.2340458998298,-81.14472044146297,88.50489315996394
0.352,180.517062871205,-76.26736927553328,81.97645361647812
0.353,171.10106612931537,-71.59874411274986,75.76046633883769
0.354,162.04844119527613,-67.16038037444332,69.89301510723651
0.355,153.40298869801202,-62.96523768259193,64.39503056455088
0.356,145.19256843612447,-59.01915657183649,59.27500724856946
0.357,137.4317709885665,-55.322257336249464,54.531604728781154
0.358,130.1244580016013,-51.87021825605327,50.156005770266404
0.359,123.26607175008941,-48.6553988705198,46.133965132426546
0.36,116.84566195939529,-45.66779546571627,42.447527088464895
0.361,110.8476129052355,-42.89583094375612,39.07642030463407
0.362,105.2530777998192,-40.326990763188206,35.99915722397029
0.363,100.04114242654074,-37.94832190263527,33.193874981772666
0.364,95.18974804629812,-35.74681397216037,30.63895778406461
0.365,90.67640673971935,-33.70968168699659,28.31348008829389
0.366,86.4787422106285,-31.824566721571273,26.19750656391911
0.367,82.57488692774643,-30.07967506570172,24.272280148371905
0.368,78.94376324938783,-28.463863816368093,22.520324929547044
0.369,75.56527250185312,-26.966689124050067,20.92548572035045
0.37,72.42041229759081,-25.578424941121703,19.472921728903085
0.371,69.49133888280018,-24.290060346135768,18.149068467768984
0.372,66.76138822197858,-23.093281629860996,16.941578251636162
0.373,64.21506678079852,-21.980443953562006,15.839247630177116
0.374,61.83802070669125,-20.944536292807552,14.831937744823682
0.375,59.61699017840511,-19.979142464433313,13.910491770178995
0.376,57.539754145983174,-19.078400318358373,13.066652925503421
0.377,55.59506941821186,-18.236960604719226,12.292984705845592
0.378,53.77260705910198,-17.449946589395346,11.582795179801595
0.379,52.0628882591438,-16.712915148857185,10.930065870805253
0.38,50.45722123003844,-16.02181981798355,10.329385724583435
0.381,48.947640205293254,-15.372976077664177,9.775890476817478
0.382,47.526847253017436,-14.763029020324213,9.265207143483762
0.383,46.18815734649036,-14.188923436709176,8.793403624598184
0.384,44.92544692373097,-13.647876289355475,8.356943084626408
0.385,43.73310602632859,-13.137351493820214,7.952642801183448
0.386,42.60599399733419,-12.65503689455726,7.57763718701072
0.387,41.5393986426373,-12.198823303018347,7.229344572511933
0.388,40.528998710144,-11.766785455598939,6.90543748964843
0.389,39.57082951563958,-11.35716474919234,6.603816064899837
0.39,38.66125151261276,-10.968353606408234,6.3225842170015545
0.391,37.796921611333154,-10.598881335846846,6.060028466875894
0.392,36.974767037003495,-10.247401351580967,5.814598950689885
0.393,36.19196153374556,-9.912679631167256,5.58489254895201
0.394,35.445903714039744,-9.593584291870618,5.369637784106796
0.395,34.734197381759174,-9.289076184201042,5.16768135581127
0.396,34.054633644540615,-8.998200397590132,4.9779761304575505
0.397,33.40517467086099,-8.720078596965656,4.799570440535126
0.398,32.7839389258848,-8.453902098815462,4.631598493030188
0.399,32.18918776874344,-8.198925623351442,4.473271844492825
0.4,31.619313269878518,-7.954461646765935,4.323871728319086
0.405,30.064167815858738,-7.286284316603536,3.926903904165075
0.41000000000000003,27.812920039061215,-6.316357803996903,3.384755783712871
0.41500000000000004,25.934729734707297,-5.503799041474794,2.961087543780533
0.42000000000000004,24.343739623967387,-4.812543545632049,2.622992475794306
0.42500000000000004,22.978257033037842,-4.216744210707898,2.3481961059350014
0.43,21.79306599325579,-3.6974521915063385,2.121260414200848
0.435,20.754397424398956,-3.24047786211423,1.931243293277491
0.44,19.836580311953593,-2.83498453748052,1.7702241047022211
0.445,19.01977329308762,-2.472545602169516,1.6323552963381984
0.45,18.288402143106435,-2.14650012770967,1.5132400322401698
0.455,17.6300660219418,-1.85150425812388,1.4095158401493773
0.46,17.03475994516593,-1.5832132674359998,1.3185709206057852
0.465,16.494313847427108,-1.3380523387935372,1.238347436314152
0.47000000000000003,16.001982172453197,-1.1130485812872228,1.1672028206352703
0.475,15.552139538859125,-0.9057059880797617,1.1038104270577642
0.48,15.140052164247905,-0.7139109718096386,1.047087290574932
0.485,14.761704089167425,-0.5358599955396666,0.9961408282231773
0.49,14.41366351348171,-0.3700033901290919,0.9502289971407615
0.495,14.092978871622451,-0.21500120694053473,0.9087301051681744
0.5,13.797097143809355,-0.069688104652954,35568.98983704959
